typ, rozmiar, czas
ddot, 100, 0.000002
dgemv, 100, 0.000050
ddot, 100, 0.000001
dgemv, 100, 0.000017
ddot, 100, 0.000001
dgemv, 100, 0.000012
ddot, 100, 0.000000
dgemv, 100, 0.000011
ddot, 100, 0.000001
dgemv, 100, 0.000012
ddot, 100, 0.000001
dgemv, 100, 0.000010
ddot, 100, 0.000001
dgemv, 100, 0.000009
ddot, 100, 0.000001
dgemv, 100, 0.000009
ddot, 100, 0.000000
dgemv, 100, 0.000009
ddot, 100, 0.000000
dgemv, 100, 0.000009
ddot, 200, 0.000001
dgemv, 200, 0.000039
ddot, 200, 0.000000
dgemv, 200, 0.000038
ddot, 200, 0.000000
dgemv, 200, 0.000039
ddot, 200, 0.000001
dgemv, 200, 0.000038
ddot, 200, 0.000000
dgemv, 200, 0.000038
ddot, 200, 0.000000
dgemv, 200, 0.000038
ddot, 200, 0.000000
dgemv, 200, 0.000038
ddot, 200, 0.000000
dgemv, 200, 0.000063
ddot, 200, 0.000000
dgemv, 200, 0.000038
ddot, 200, 0.000001
dgemv, 200, 0.000038
ddot, 300, 0.000001
dgemv, 300, 0.000087
ddot, 300, 0.000000
dgemv, 300, 0.000087
ddot, 300, 0.000000
dgemv, 300, 0.000087
ddot, 300, 0.000001
dgemv, 300, 0.000153
ddot, 300, 0.000002
dgemv, 300, 0.000089
ddot, 300, 0.000001
dgemv, 300, 0.000087
ddot, 300, 0.000000
dgemv, 300, 0.000087
ddot, 300, 0.000001
dgemv, 300, 0.000087
ddot, 300, 0.000000
dgemv, 300, 0.000087
ddot, 300, 0.000001
dgemv, 300, 0.000087
ddot, 400, 0.000001
dgemv, 400, 0.000195
ddot, 400, 0.000001
dgemv, 400, 0.000156
ddot, 400, 0.000001
dgemv, 400, 0.000156
ddot, 400, 0.000001
dgemv, 400, 0.000163
ddot, 400, 0.000001
dgemv, 400, 0.000156
ddot, 400, 0.000000
dgemv, 400, 0.000160
ddot, 400, 0.000001
dgemv, 400, 0.000156
ddot, 400, 0.000000
dgemv, 400, 0.000155
ddot, 400, 0.000000
dgemv, 400, 0.000156
ddot, 400, 0.000001
dgemv, 400, 0.000156
ddot, 500, 0.000000
dgemv, 500, 0.000252
ddot, 500, 0.000001
dgemv, 500, 0.000245
ddot, 500, 0.000001
dgemv, 500, 0.000246
ddot, 500, 0.000001
dgemv, 500, 0.000245
ddot, 500, 0.000001
dgemv, 500, 0.000246
ddot, 500, 0.000001
dgemv, 500, 0.000245
ddot, 500, 0.000001
dgemv, 500, 0.000245
ddot, 500, 0.000000
dgemv, 500, 0.000245
ddot, 500, 0.000001
dgemv, 500, 0.000245
ddot, 500, 0.000000
dgemv, 500, 0.000245
ddot, 600, 0.000001
dgemv, 600, 0.000372
ddot, 600, 0.000001
dgemv, 600, 0.000361
ddot, 600, 0.000001
dgemv, 600, 0.000356
ddot, 600, 0.000001
dgemv, 600, 0.000356
ddot, 600, 0.000001
dgemv, 600, 0.000356
ddot, 600, 0.000001
dgemv, 600, 0.000355
ddot, 600, 0.000001
dgemv, 600, 0.000355
ddot, 600, 0.000001
dgemv, 600, 0.000357
ddot, 600, 0.000000
dgemv, 600, 0.000356
ddot, 600, 0.000001
dgemv, 600, 0.000356
ddot, 700, 0.000001
dgemv, 700, 0.000496
ddot, 700, 0.000001
dgemv, 700, 0.000504
ddot, 700, 0.000001
dgemv, 700, 0.000499
ddot, 700, 0.000001
dgemv, 700, 0.000496
ddot, 700, 0.000001
dgemv, 700, 0.000500
ddot, 700, 0.000001
dgemv, 700, 0.000501
ddot, 700, 0.000001
dgemv, 700, 0.000494
ddot, 700, 0.000001
dgemv, 700, 0.000497
ddot, 700, 0.000001
dgemv, 700, 0.000499
ddot, 700, 0.000001
dgemv, 700, 0.000499
ddot, 800, 0.000002
dgemv, 800, 0.000686
ddot, 800, 0.000001
dgemv, 800, 0.000691
ddot, 800, 0.000002
dgemv, 800, 0.000718
ddot, 800, 0.000001
dgemv, 800, 0.000681
ddot, 800, 0.000001
dgemv, 800, 0.000673
ddot, 800, 0.000001
dgemv, 800, 0.000678
ddot, 800, 0.000001
dgemv, 800, 0.000677
ddot, 800, 0.000001
dgemv, 800, 0.000673
ddot, 800, 0.000001
dgemv, 800, 0.000681
ddot, 800, 0.000001
dgemv, 800, 0.000676
ddot, 900, 0.000002
dgemv, 900, 0.000883
ddot, 900, 0.000001
dgemv, 900, 0.000863
ddot, 900, 0.000001
dgemv, 900, 0.000872
ddot, 900, 0.000001
dgemv, 900, 0.000868
ddot, 900, 0.000001
dgemv, 900, 0.000870
ddot, 900, 0.000001
dgemv, 900, 0.000877
ddot, 900, 0.000002
dgemv, 900, 0.000874
ddot, 900, 0.000001
dgemv, 900, 0.000873
ddot, 900, 0.000002
dgemv, 900, 0.000872
ddot, 900, 0.000001
dgemv, 900, 0.000870
